roll_belt,pitch_belt,yaw_belt,total_accel_belt,gyros_belt_x,gyros_belt_y,gyros_belt_z,accel_belt_x,accel_belt_y,accel_belt_z,magnet_belt_x,magnet_belt_y,magnet_belt_z,roll_arm,pitch_arm,yaw_arm,total_accel_arm,gyros_arm_x,gyros_arm_y,gyros_arm_z,accel_arm_x,accel_arm_y,accel_arm_z,magnet_arm_x,magnet_arm_y,magnet_arm_z,roll_dumbbell,pitch_dumbbell,yaw_dumbbell,total_accel_dumbbell,gyros_dumbbell_x,gyros_dumbbell_y,gyros_dumbbell_z,accel_dumbbell_x,accel_dumbbell_y,accel_dumbbell_z,magnet_dumbbell_x,magnet_dumbbell_y,magnet_dumbbell_z,roll_forearm,pitch_forearm,yaw_forearm,total_accel_forearm,gyros_forearm_x,gyros_forearm_y,gyros_forearm_z,accel_forearm_x,accel_forearm_y,accel_forearm_z,magnet_forearm_x,magnet_forearm_y,magnet_forearm_z,classe
0.81,5.11,-87.6,5,0.03,0,0,-11,2,43,59,630,-305,0,0,0,30,-3.48,1.67,-1.46,-222,196,-14,275,277,531,61.0815703,-48.6692312,-73.76343556,30,0.47,0.06,-0.54,-137,168,-197,-506,361,53,128,-16.1,89.8,32,0.02,0,-0.05,205,163,-175,-11,679,741,C
1.42,7.5,-94,3,-0.03,0,-0.03,-22,6,16,1,603,-318,-141,5.39,-171,34,0.02,-0.02,-0.02,-289,109,-125,-373,331,506,112.6043981,-4.752932688,44.18393564,2,-0.29,-0.16,0.16,-1,19,9,-523,334,-19,13,-63.7,-137,36,0.03,0.02,0.02,191,206,-216,-16,656,481,A
1.74,6.5,-93.1,3,-0.16,0.02,-0.02,-23,5,16,2,605,-306,115,-48.8,-27.3,24,-3.21,1.45,-0.46,91,5,-221,689,-285,-208,-114.0643032,1.893658663,-42.96801052,5,-0.05,-0.02,0.05,1,-48,-22,-623,116,-71,-152,27.5,-72,42,-0.32,-0.69,-0.67,48,-317,-260,122,-709,-184,B
143,6.53,56.6,21,0.02,0.13,-0.67,-18,55,-200,53,543,-433,-48.9,-13.5,-41.6,12,1.61,-0.9,1.33,-9,-101,68,517,61,473,119.028995,0,-38.05063771,2,0.08,-0.05,-0.11,0,20,-8,-253,561,15,32.3,32.5,9.59,20,0.5,-2.94,-1.07,-70,185,11,-277,756,545,E
1.92,6.76,-92.6,3,0.03,0,0,-22,4,22,2,600,-312,77.5,-30.3,49.6,14,-3.08,1.06,0.26,-66,98,-63,588,113,375,84.04497577,72.99096983,-2.083908144,20,-0.16,0.11,0.1,128,143,-4,-53,628,-23,153,85.8,-166,26,-0.77,-2.63,-1.02,-165,2,-196,-546,-149,408,B
139,8.13,58.5,20,-0.16,0.22,-0.51,-23,48,-189,37,570,-384,-73.2,-22.2,18.2,27,-1.36,-0.34,0.79,151,-139,-162,691,-136,-176,96.34341052,2.28118746,-60.68069952,4,0.11,0.29,-0.16,1,36,-25,-193,595,-60,-68.7,23.2,-155,45,0.35,-1.81,-0.28,-425,-116,3,-620,-37,275,E
0.87,7.35,-93.3,3,0,-0.02,-0.03,-14,2,28,2,612,-300,70.7,6.29,62.3,28,-2.41,1.49,-0.08,-196,190,3,100,342,534,85.57863269,60.20279054,33.66748194,2,0.22,0.19,-0.02,12,16,7,-544,319,-47,66.8,-3.85,154,39,0.14,-3.34,-1.02,28,329,-200,-530,690,643,A
141,22.4,19.9,23,-0.66,-0.02,0.03,-56,70,-202,20,528,-460,113,-5.99,105,13,2.87,-1.8,0.85,-54,53,97,-273,388,503,-3.029221554,40.46951771,116.4835401,10,0.24,-0.61,0.07,39,-3,91,528,-511,-23,146,3.53,85.9,37,0.63,0.77,0.56,32,319,-160,-162,751,623,E
2.14,2.55,-88.2,2,-0.08,0.02,-0.07,-8,7,16,38,556,-440,103,-27.7,-12.1,25,3.4,-1.35,-0.02,138,109,-165,724,-48,-118,-105.6247675,-26.08794583,43.24943943,3,-0.66,-0.02,0.33,-8,-27,13,-431,236,311,-176,17.3,94,40,0.22,-1.64,-0.13,-41,334,199,-636,1180,-545,B
122,-43.1,171,17,0.08,0.11,-0.18,47,42,-157,167,607,-296,-31,8.55,3.36,14,-2.36,-0.32,0.34,33,-130,-44,705,-88,222,57.18800691,-26.18225758,-92.73875055,17,-0.03,0.14,0.1,-44,92,-136,-550,289,19,0,0,0,46,0.95,2.71,0.89,-367,265,10,-695,236,482,A
123,-42.7,168,17,0.11,0.11,-0.18,47,44,-157,161,610,-306,49.7,49.4,-137,29,0.22,-0.61,0.87,-275,-55,-32,-329,280,583,57.44273655,-29.00246743,-90.96573583,18,-0.06,0.19,0.05,-50,95,-138,-529,318,41,0,0,0,40,1.19,0.5,0.59,16,381,-75,-38,725,479,A
119,15.7,0,18,0.05,0.1,-0.16,-22,60,-166,17,596,-331,-36.3,23.1,-85.5,26,-1.69,0.08,0.66,-247,-29,43,-124,277,618,59.06368552,24.09931417,-91.99268203,1,0.21,0.19,0.05,3,7,-10,-445,438,-25,38.9,36.6,-36.3,18,-0.56,1.91,-0.07,-136,115,10,-324,768,598,D
118,17.4,-0.31,18,0.03,0.1,-0.16,-17,60,-161,19,606,-332,-42.9,-21.7,-23.4,10,-1.61,-0.06,0.85,40,-86,-22,672,57,242,120.571097,36.12466599,-5.051300763,4,-0.14,-0.08,0.05,14,37,-2,-341,518,-46,-13.8,79.1,-68.5,36,0.1,-1.78,-0.43,-348,28,23,-687,419,532,D
0.49,5.03,-87.9,5,0,0,0,-15,1,46,50,639,-301,0,0,0,37,0,-0.03,-0.03,-275,155,-177,-423,418,428,54.83463264,-49.75486507,-78.58793844,30,0.35,0.11,-0.34,-141,154,-209,-520,332,56,54.5,-48,159,32,-0.06,0.1,-0.03,222,109,-197,115,569,649,A
122,24.9,-5.28,19,-0.39,-0.03,-0.38,-36,71,-167,14,579,-373,85.3,-10.8,44.6,28,1.57,-1,0.15,240,20,128,415,274,458,3.974905152,30.26380374,126.539395,10,0.5,-0.11,-0.21,30,4,96,535,-511,-58,133,30.7,135,35,0.56,-2.63,-0.43,-64,294,-165,-638,602,649,D
1.65,3.2,-87.1,3,-0.08,0.02,-0.05,-10,3,24,47,570,-425,87.8,5.49,124,33,0,0.03,-0.11,-238,161,-145,-401,280,541,68.26390882,38.81814013,74.41219117,15,-0.98,1,0.34,57,95,102,-209,345,383,-177,15.5,-22.4,27,-0.26,-3.31,-0.75,208,86,142,533,-519,19,E
124,-42.8,167,17,0.14,0.11,-0.15,49,42,-157,169,613,-304,-23.7,12.7,-133,28,0.19,-0.5,0.77,-265,-66,-19,-271,227,629,50.28001282,-33.14623533,-95.0257608,16,0.14,0.26,0.08,-52,77,-130,-571,248,48,0,0,0,37,1.19,0.45,0.62,23,357,-30,-63,740,528,A
139,-42.3,148,18,0.88,0.18,0.26,69,25,-161,294,527,-411,-49,-38,-5.55,12,3.36,-2.84,0.71,32,-14,-110,726,125,-65,36.17895606,-25.3694255,-112.1976592,16,0.06,0.11,-0.23,-39,55,-140,-592,155,84,0,0,0,29,1.43,-1.69,-0.62,-285,10,-12,-341,-469,111,E
0.94,2.28,-88.5,4,-0.08,-0.02,-0.05,-12,2,41,34,630,-319,0,0,0,33,2.01,-1.36,1,-240,200,-65,-168,450,466,63.5257418,-43.56866377,-75.51624485,32,0.13,0.03,-0.41,-133,187,-216,-442,446,-64,130,-30.5,83.2,31,-0.11,0.06,-0.07,179,152,-185,-50,701,810,B
1.06,4.41,-87.8,4,0.02,0,0,-10,1,39,45,628,-325,0,0,0,37,-0.02,0,-0.02,-278,158,-180,-421,419,413,66.1067893,-48.50083124,-69.05257725,31,-0.03,-0.02,-0.1,-142,187,-194,-474,414,-17,-28.5,69.4,10.6,27,-0.31,1.89,0.31,-200,21,-178,-640,81,516,A
139,-36.4,132,17,0.1,0.18,-0.08,52,35,-150,188,600,-309,-78.4,-58.1,37.1,28,-1.04,-0.18,0.66,145,-134,-191,721,-89,-214,67.72821876,-22.53259857,-84.2881801,19,0.22,0.26,-0.31,-41,115,-137,-535,307,38,0,0,0,40,0.93,-0.95,-0.08,-361,141,4,-655,52,479,E
117,18.2,-4.65,18,0.1,0.11,-0.16,-25,63,-159,24,600,-318,-64.6,-25.2,-119,31,0.29,-0.55,0.82,-296,-58,-58,-387,270,544,-20.93180761,-20.93180761,127.2529971,2,0.14,0.26,-0.05,-5,-5,23,-514,348,-177,-41.3,6.59,-174,47,-0.34,1.2,0.07,-432,-170,30,-599,-89,314,A
126,-43.7,164,18,0.1,0.11,-0.16,48,45,-161,160,608,-313,6.03,-10.4,-37.4,8,-3.2,0.21,1.15,-23,-77,3,694,53,230,98.49147584,-24.98717206,-51.73277438,19,-0.45,1.43,0.1,-46,155,-92,-452,406,95,0,0,0,50,0.8,1.85,1.03,-106,482,18,-403,829,809,B
131,23.6,12.8,21,-0.5,-0.02,-0.94,-49,48,-197,-6,583,-383,8.93,-21.3,-77.9,25,-4.77,1.54,-0.26,72,70,221,253,257,569,-20.90574196,11.34456928,133.2133161,11,0.42,-0.22,-0.25,12,-22,103,477,-558,-73,151,50.1,165,44,1.3,-6.45,-0.31,-93,398,-130,-692,234,426,E
1.72,6.86,-93.7,3,-0.06,0,-0.07,-17,1,23,-1,609,-307,-153,15.6,-175,28,-1.06,0.39,-0.39,-240,117,-40,-154,286,620,43.46312457,-34.35808059,100.1261527,1,0.14,-0.08,-0.23,-4,5,10,-544,302,-42,-6.41,36.6,91.4,33,-0.53,0.05,-0.38,-118,-235,-184,-268,-472,193,A
144,6,59.2,22,0.19,0.06,-0.71,-35,55,-201,48,548,-440,-43.1,-15.7,-34.4,8,1.86,-1.01,0.94,17,-76,20,588,62,379,104.804452,50.90836756,10.85189399,2,0.1,0.05,-0.08,9,16,2,-249,557,34,-11.7,43.8,-105,20,0,-3.66,-2.02,-148,121,-6,-635,597,607,E
124,26,-2.09,20,-0.45,-0.02,-0.46,-41,71,-177,5,579,-381,84.4,-32.1,143,5,0.72,-0.58,0.13,2,12,44,-407,360,466,-12.6313785,30.71545457,123.709415,8,0.95,-0.21,-0.31,24,-10,75,504,-548,-108,89.9,8.98,102,34,0.29,-0.43,-0.11,117,261,-180,-207,765,593,A
1.27,5.84,-88.2,5,-0.02,0,0.03,-20,5,45,55,632,-316,0,0,0,37,-0.02,-0.03,0.07,-276,157,-182,-415,429,396,59.42445448,-50.95114443,-73.39375776,30,0.32,0.13,-0.41,-142,163,-195,-516,334,64,51.9,-42.8,159,33,0,-0.03,0.02,228,111,-201,122,552,669,A
118,17.2,-1.22,18,0.1,0.13,-0.2,-23,65,-164,18,599,-321,-56.1,-32.6,-14.2,15,1.61,-1.19,1.13,114,-75,-63,719,28,117,-28.1309449,-9.267053761,127.3819506,3,-0.16,0.11,0.2,-3,-9,31,-494,368,-185,-11.5,22.7,-138,30,0.16,-1.32,-0.85,-282,72,35,-655,557,677,A
-21.6,-2.74,-88.7,9,-0.13,-0.13,-0.52,-39,-2,84,-37,647,-242,114,-23.3,-41.3,38,3.29,-0.83,-0.05,107,27,-358,531,-159,-396,52.66002952,16.83261367,101.2450579,10,-0.4,0.56,0.03,16,48,81,-265,318,375,180,11.7,-40.9,23,-0.43,-4.13,-0.31,115,-89,172,458,-778,96,D
2.76,5.23,-89.1,2,0.08,0,0.03,-13,7,16,40,565,-436,137,-18.6,-77.9,41,3.4,-1.25,0.18,41,2,-403,214,-247,-521,-106.2491292,-47.15377546,17.56154347,3,-0.61,-0.19,0.38,-13,-25,5,-446,214,299,-176,18.3,91,44,0.02,-2.28,-0.72,-88,377,183,-643,1190,-572,B
-1.05,5.01,-89.2,6,0.08,0.03,0.03,-14,-2,53,26,644,-286,0,0,0,20,-3.18,1.51,-0.89,-77,161,-81,571,159,361,50.26306593,-57.78086774,-75.49900749,30,0.14,0.31,0,-161,142,-202,-514,364,-3,101,50.1,135,25,0.87,-2.94,-0.33,-65,171,-162,-680,402,693,A
131,-38,140,17,0.06,0.11,-0.18,51,40,-149,186,620,-268,-10.6,22.7,-86.5,34,2.04,-1.69,1.74,-333,-3,3,-232,397,502,122.2690212,18.68603198,-29.01470966,27,0.98,-1.09,-0.56,50,253,-77,-68,582,136,0,0,0,36,1.04,0.8,0.52,62,338,-57,73,638,528,E
121,25.2,-5.07,19,-0.4,-0.02,-0.41,-43,71,-167,16,587,-345,127,-38.4,-34.2,46,-0.69,-0.32,0.84,407,-68,-177,715,-50,-185,2.005959879,23.27661092,133.7135542,10,0.42,-0.21,-0.08,23,2,97,525,-522,-31,168,57.2,177,27,-0.13,1.59,0.25,-190,68,-171,-684,152,500,D
0.81,5.96,-92.8,3,-0.03,0,-0.02,-17,2,28,-3,611,-311,58,-8.21,83.6,25,-2.95,1.14,-0.92,-204,142,17,126,216,606,127.0383549,16.19773296,25.07263284,8,-0.37,1.35,0.3,13,77,20,-383,485,-25,103,12.6,132,48,0.51,-3.53,-0.71,-2,427,-191,-541,654,594,B
1.07,4.51,-87.8,4,-0.05,0,0.02,-13,3,36,47,623,-320,0,0,0,38,-0.02,-0.08,0.05,-279,155,-185,-420,410,410,68.32876373,-42.96561,-71.30272398,31,0.22,0.19,-0.34,-128,194,-201,-488,396,-24,60.4,43.3,92.3,34,-0.29,4.05,0.43,-38,291,-159,-612,627,785,A
119,15.9,-0.92,18,0.11,0.11,-0.13,-19,63,-164,24,598,-330,-53.7,-25.8,-8.36,16,1.81,-1.08,0.95,99,-102,-73,717,12,119,131.911866,17.70131455,-17.70131455,1,0.11,0.18,-0.03,2,11,-2,-386,490,-40,-71.3,41.4,-151,47,-0.42,1.89,-0.33,-448,-122,-5,-619,-44,317,D
1.82,4.45,-89,2,-0.05,0.02,0,-7,3,16,48,561,-426,87.2,12.4,115,32,0.08,0.02,-0.08,-235,156,-137,-348,313,549,-101.5442213,-8.232332116,-54.77788103,4,0.11,-0.35,0,-3,-31,-19,-486,177,267,169,25.3,0.6,36,0.02,-3.74,-0.85,190,265,135,223,107,-302,B
1.12,7.3,-93.5,3,0.08,0,-0.02,-18,4,27,2,606,-296,21,15.4,12.7,32,1,-0.43,0.9,150,-11,-271,695,-214,-196,101.516778,28.71183184,46.11880703,3,-0.05,-0.1,-0.13,7,21,11,-517,353,-74,50.1,-22.5,-177,41,0.66,-3.1,-0.26,19,358,-183,-511,688,609,A
0.67,3.88,-88.1,4,-0.06,-0.02,-0.07,-15,7,33,43,626,-307,0,0,0,35,2.36,-1.49,1.2,-262,205,-93,-127,442,489,73.41445701,-39.192025,-69.00895993,34,-0.13,-0.11,-0.11,-126,221,-210,-437,459,-47,92.4,22.9,107,34,-0.72,2.41,0.11,-96,270,-170,-510,736,769,A
117,-51.3,-176,17,0.34,0.13,-0.03,59,40,-151,215,596,-324,20.9,-4.02,-2.97,5,2.68,-1.49,1.05,4,-27,35,525,184,390,118.4271488,8.232787211,-37.67420719,24,-0.03,0.48,0.08,19,214,-85,-234,535,135,0,0,0,50,1.69,-1.11,0.34,-30,492,5,-190,805,676,B
119,15.2,2.42,18,0.03,0.13,-0.15,-20,63,-160,24,601,-323,-35.4,2.26,-64.9,18,-2.42,0.13,0.77,-162,-41,64,228,191,598,-108.574654,-14.79814607,-45.81903823,1,-0.11,0.02,0.3,-2,-12,-6,-482,394,-22,30.7,34.4,-44.9,21,-0.48,1.57,0.2,-162,122,16,-356,776,648,D
123,25.8,-3.56,20,-0.42,-0.02,-0.41,-41,70,-174,1,579,-377,-8.82,14.1,-18.5,44,-0.42,-0.14,0.16,408,-71,-126,743,37,-88,2.538433598,34.97380577,122.005882,8,0.42,-0.27,-0.1,27,2,74,551,-495,-105,-139,51.3,-121,26,0.43,-2.54,-0.74,-147,-81,-198,-530,-225,242,A
1.37,7.92,-93.6,3,-0.11,0.02,-0.05,-21,4,19,2,604,-311,-145,0.8,-175,34,0,-0.02,-0.03,-287,109,-119,-364,330,512,94.6042458,33.04226479,50.82672462,1,-0.31,-0.32,-0.33,4,10,6,-533,327,-55,44.9,-36.8,-159,42,-0.26,1.8,0.36,31,356,-196,-386,721,553,A
-5.48,4.54,-93,3,-0.24,-0.03,-0.54,-10,-12,22,-9,607,-289,82.4,-14.1,60.7,23,3.2,-1.69,0.15,-101,197,20,333,285,500,106.4020508,32.88393527,37.07647245,13,-0.05,0.18,-0.33,41,111,46,-271,526,107,-162,36.3,-119,24,0.05,-3.36,-0.74,-98,-107,-187,-344,-404,253,E
115,18.5,-7.51,18,0.18,0.1,-0.16,-24,62,-159,10,605,-327,-36.8,30.4,-93.6,29,1.3,-0.85,0.89,-278,-65,-6,-290,306,602,97.62808697,16.31582248,56.57350255,6,0.4,1,-0.48,10,51,33,-408,459,-176,-51.3,26.1,-174,47,0.13,-1.48,-0.77,-438,-139,20,-608,-55,318,B
1.15,7.54,-93.6,3,0.05,-0.02,-0.05,-23,2,23,2,601,-304,9.56,25.4,12.4,27,-1.61,0.35,0.02,146,15,-220,742,-119,-122,67.38767184,-14.45070227,87.57508482,2,0.02,0.03,0.03,-3,13,16,-539,330,-38,48.5,-30.7,-164,39,0.13,1.91,1.07,25,336,-179,-452,732,634,A
126,-41.5,165,18,0.11,0.11,-0.16,46,46,-161,166,601,-320,28.5,67.8,-34.8,31,0.34,-0.77,1.16,-287,-41,-81,-425,450,387,49.86628428,-30.27339019,-97.20999994,16,-0.1,-0.18,-0.03,-48,77,-133,-547,269,96,0,0,0,57,1.7,-2.78,-0.57,-137,545,15,-527,790,788,C
132,12.2,47.9,17,0.05,0.21,-0.51,-30,54,-159,24,597,-319,-74.7,-24,37.4,39,1.16,-0.79,0.8,140,-201,-290,581,-203,-332,123.8433071,-2.954410733,-33.09460697,3,0.31,-0.05,-0.34,-1,32,-11,-238,565,31,-64.2,20.6,-165,47,0.45,-1.78,-0.33,-440,-139,-12,-575,-130,181,E
5.7,-3.75,-80.4,4,0.34,0,-0.03,8,31,22,89,584,-415,0,0,0,22,3.26,-1.53,0.54,93,43,-185,759,-45,3,34.69632528,-56.54860538,-88.32827789,30,0.67,-0.51,-0.64,-156,99,-225,-502,337,73,166,30.3,-136,36,0.14,-3.71,-0.59,-61,-276,-209,-319,-435,194,E
1.46,7.1,-93.7,3,0.08,0,0,-19,6,21,5,600,-306,-141,4.52,-171,34,0,-0.02,-0.02,-288,111,-124,-369,335,510,51.378053,24.82795139,98.90501313,2,0,-0.29,-0.21,5,10,17,-528,347,-56,14.2,-63.3,-138,36,0.03,-0.03,0,188,208,-215,-22,657,473,A
126,24.5,7.65,19,-0.21,0,-0.43,-49,67,-163,13,592,-347,-130,-36.5,112,42,-4.87,2.42,0.71,126,-228,-316,310,-279,-498,-17.37039258,19.43867344,130.8604876,10,0.48,-0.05,-0.3,19,-17,95,503,-542,-52,129,48.3,124,27,-0.1,1.57,0.34,-147,186,-115,-701,464,648,E
6.05,6.34,-91.5,1,-0.08,0.02,-0.62,-9,-1,-11,29,542,-421,146,-29,-78.7,41,2.78,-1.06,0.9,24,-79,-398,300,-328,-468,65.06636407,39.76579932,76.85343866,10,-0.56,1.2,-0.74,39,61,70,-415,399,150,151,-0.36,98.1,52,-0.24,-3.1,-0.61,119,443,-227,-231,724,456,E
1.28,3.9,-87.3,4,0.22,0.02,0,-13,6,39,49,631,-319,0,0,0,18,-3.02,0.98,-0.95,-68,106,-128,587,100,374,48.34470016,-56.00620177,-78.71130124,28,0.32,0.16,-0.41,-144,126,-192,-543,252,109,161,45.3,-175,21,-1.11,4.06,-0.05,-103,6,-181,-628,51,536,C
119,16.9,0.24,18,0.1,0.1,-0.21,-21,61,-161,28,606,-327,-39,-8.04,-47.1,12,-1.4,-0.08,0.87,-39,-63,92,448,129,496,93.19165747,61.50346375,-15.10925238,4,-0.02,-0.08,-0.15,23,32,-6,-316,536,-85,56.5,65.1,-2.14,35,0.11,-0.92,-0.39,-305,143,36,-588,650,589,D
0.55,4.77,-88.2,5,0.02,0,0,-13,1,43,48,636,-306,0,0,0,16,-2.14,0.79,-0.69,67,117,-86,728,22,160,54.19426454,-51.73790612,-77.47133762,29,0.22,0.31,0.07,-140,146,-198,-520,354,-9,116,28.1,128,25,-1.22,3.79,0.51,-18,205,-129,-666,502,815,A
1.4,8.22,-93.1,3,0.08,-0.02,0.02,-20,3,26,11,606,-310,74.4,17.6,101,29,0.85,-0.26,-0.02,-250,134,-43,-293,339,541,97.61714382,36.16970258,44.92445202,13,0.02,-0.88,-0.25,44,103,54,-388,482,14,156,36.7,169,36,0.16,-4.56,-0.57,-129,255,-204,-687,240,501,B
-0.02,5.34,-92.3,2,0.06,0.03,0.49,-14,-3,12,8,608,-301,64.1,-27.4,48.4,16,2.73,-1.45,0.62,-50,141,-33,511,129,428,-116.8886757,11.5294725,38.31870169,4,0.22,-0.61,-0.2,4,-32,13,-580,243,-32,172,45.3,-174,33,0.02,-5.33,-0.8,-175,183,-204,-644,37,459,E
135,21.6,21.4,21,-0.11,-0.05,-0.1,-23,64,-194,16,570,-400,101,16.6,5.64,29,3.74,-2.89,-0.3,281,-26,-32,726,76,124,-4.071752516,-6.109741718,149.734602,5,0.9,0.64,0.13,-3,-2,49,184,-726,-100,148,7.19,88.4,44,-1.27,3.44,0.16,182,368,-124,-244,784,704,E
1.5,3.59,-89.3,2,-0.02,0.02,0.02,-8,5,19,33,562,-436,82.5,-8.64,64.1,27,-3.89,1.48,-0.8,-127,217,83,355,153,545,-137.9001298,-17.94457995,-6.698168708,5,0.18,-0.21,-0.72,-8,-44,-3,-485,127,303,-179,16.7,-67.3,23,0.26,-4.16,-0.89,31,-95,204,337,-892,186,C
156,-32,128,23,0.14,0.1,-0.28,60,43,-217,158,507,-498,-124,-32.2,94.3,45,1.54,-0.98,0.9,47,-165,-409,220,-97,-581,104.4268489,-13.71961013,-50.47239947,21,-0.8,1.61,0.26,-28,177,-99,-336,492,120,0,0,0,53,1.17,2.31,2.36,-48,515,19,-372,838,828,E
-2.55,-0.17,-83.5,0,-0.03,0.24,1.3,-4,-1,-1,61,554,-446,69.4,-34.2,45.1,13,2.57,-0.58,0.57,37,115,-22,580,14,369,5.653088706,-43.75878888,-112.9064176,4,0.13,-0.06,-0.23,-15,2,-32,-505,166,248,168,15.9,-53.7,23,-0.45,3.13,0.43,100,-132,157,210,-668,-18,D
116,16.6,-6.78,17,0.13,0.13,-0.1,-20,63,-156,22,598,-321,-53.7,-23.3,1.88,21,2.41,-1.49,1.02,118,-110,-132,732,-61,-27,34.76068598,0,122.3189467,7,0.02,0.08,-0.08,0,25,69,-446,435,-43,20.3,20.7,-99.1,21,0.31,-2.14,-0.26,-106,176,27,-343,775,629,B
120,14.3,1.89,18,0.16,0.11,-0.16,-19,62,-161,22,591,-317,-42.6,21.4,-85.8,26,1.45,-0.82,0.84,-243,-61,22,-149,235,644,-101.756002,-55.23363135,-2.836475283,7,-0.11,0.35,-0.05,-37,-60,-2,-460,411,-13,-34.5,43.5,-138,44,-0.02,0.5,0.16,-429,-43,14,-688,287,448,C
118,17.1,0.04,18,0.06,0.1,-0.16,-27,64,-165,21,600,-327,-40.7,-16.2,-34.6,8,-1.78,0.05,0.97,-5,-75,34,601,91,363,95.49397457,43.8370985,-40.26022902,3,-0.1,-0.16,-0.21,13,25,-12,-333,519,-58,39.8,74.6,-16.9,36,0.24,-1.65,-0.3,-333,123,22,-650,546,567,D
1.76,3.28,-88.8,2,0.21,0,0.05,-7,5,19,29,562,-431,130,-33.8,-53,47,-0.27,-0.27,0.77,125,6,-447,476,-208,-426,54.25077729,42.80009441,84.67324395,10,-1.36,0.9,-0.23,41,51,74,-175,368,383,178,18.5,46,31,-0.72,-2.52,-0.67,63,271,127,-96,656,-465,A
0.92,5.12,-88.6,4,0,0,0.02,-16,1,41,36,640,-300,0,0,0,14,0.03,0.02,-0.02,-3,131,-28,472,152,488,58.67805109,-50.9720265,-74.06951333,29,0.67,-0.19,-0.51,-141,160,-195,-502,329,111,145,29.5,120,30,0.06,0.79,0.1,-75,215,-192,-573,661,671,E
123,25.6,-3.84,20,-0.47,-0.02,-0.43,-42,68,-177,3,584,-372,25,48.3,-24.8,38,1.88,-1.24,-0.05,368,-39,-23,730,104,71,9.437700358,38.64988563,117.1740039,10,0.48,-0.19,-0.07,36,9,88,549,-501,-90,-128,42,-111,33,-0.14,-0.32,-0.41,-132,-188,-229,-431,-370,138,A
120,15.4,1.61,18,0.16,0.11,-0.07,-17,65,-161,35,600,-333,-43.9,31,-102,32,0.85,-0.67,0.9,-304,-59,-18,-383,287,578,-28.14026602,-5.051300763,128.4651171,4,-0.11,0.13,0.11,-2,-11,38,-494,368,-190,-42.2,14.7,178,51,-0.02,0.19,0.02,-453,-220,13,-548,-180,245,A
122,26.4,-4.51,19,-0.43,-0.03,-0.44,-42,68,-172,2,585,-361,-46.6,5.87,-82.2,20,-2.41,0.88,0.03,99,47,158,96,343,557,-12.58905741,44.7239972,110.3654538,7,0.06,-0.18,-0.25,31,-9,64,532,-513,-128,149,59.8,150,31,0.45,-2.75,-0.56,-93,235,-177,-700,446,588,A
0.78,5.11,-88,5,0.02,0,0.02,-16,3,45,55,634,-294,0,0,0,38,-0.03,0.03,-0.08,-281,165,-188,-430,428,382,55.66112177,-51.27499704,-76.56152009,30,0.35,0.14,-0.33,-143,154,-202,-519,335,59,55.1,-50.8,163,33,-0.05,0.05,0.1,231,110,-195,127,566,631,A
1.79,5.64,-87.9,3,0.05,0.02,0.02,-11,3,23,63,570,-434,72.9,43.2,85.6,29,0.02,0,-0.02,-217,154,-112,-333,231,600,-111.0571797,-44.28310622,11.71310579,3,0.11,-0.24,-0.13,-11,-23,3,-427,249,296,138,-47.2,159,36,-0.31,-0.19,0.34,-74,274,211,-521,1020,-418,A
126,-41.2,163,18,0.13,0.11,-0.16,51,44,-158,183,606,-322,-52.8,9.48,-131,25,0.14,-0.5,0.79,-239,-71,13,-179,232,643,36.96745141,-32.09108809,-107.0565526,18,0.22,0.08,-0.08,-55,63,-153,-590,236,2,0,0,0,47,0.98,1.46,-3.2,-41,275,-366,-163,703,-398,A
0.74,2.37,-88.4,3,0,0,-0.02,-5,1,24,31,575,-425,101,-40.1,-8.07,33,-0.64,-0.24,0.92,164,50,-279,724,-81,-116,77.05444936,-40.93519194,-63.97841737,1,0.22,-0.08,-0.13,-4,7,-6,-493,165,265,172,14,-26.9,24,-0.51,-0.39,0.62,121,-126,159,477,-631,24,C
124,-41.7,166,17,0.18,0.11,-0.15,46,44,-159,162,609,-299,-45.7,-59.3,12.3,24,0.87,-0.67,0.95,141,-111,-145,766,-53,-63,77.99698618,-18.0645341,-75.85341206,20,0.13,-0.03,-0.15,-35,137,-134,-472,403,49,0,0,0,47,0.66,2.22,0.85,-259,386,12,-649,632,657,D
6.33,-2.23,-83.8,3,-0.22,0.34,0.15,1,23,20,80,586,-407,0,0,0,13,0.03,0,-0.02,2,127,-34,473,162,482,50.71495098,-50.71495098,-81.36284309,29,0.37,0.13,-0.41,-139,139,-208,-534,308,51,171,38.7,-171,29,0.82,-6.39,0.07,35,209,-196,-645,119,468,E
5.61,0.17,-81.6,2,0.27,-0.24,-0.34,2,4,19,99,589,-384,0,0,0,20,3.85,-1.7,0.61,-103,165,-50,502,234,401,59.46000027,-51.119708,-73.21610378,27,0.22,0.31,-0.28,-131,150,-179,-537,286,83,154,27.5,-151,31,-0.98,4.3,0.13,-120,-153,-229,-409,-347,238,E
108,26.7,-18.1,17,0.06,0.13,-0.18,-18,60,-151,33,614,-308,-174,-69.8,45.9,32,0.22,-0.5,0.77,-298,-42,-77,-417,284,506,-139.1435342,-12.64854426,12.64854426,4,-0.06,0.21,-0.07,-5,-39,5,-552,287,-175,-3.32,-3.23,-81.2,2,-0.11,0.03,-0.07,8,-14,-7,73,592,452,A
